associado_id,Frequency,Monetary,Recency,r_quartile,f_quartile,m_quartile,RFMScore,categoria
76571,7,71.39,5,1,2,3,123,Proximo Fiel Limitado
41013,7,361.69999999999993,4,1,2,2,122,Destaque
44427,7,1658.54,18,2,2,1,221,Destaque
40402,7,94.88999999999999,3,1,2,3,123,Proximo Fiel Limitado
25244,7,1215.58,24,2,2,1,221,Destaque
38806,7,793.7959999999999,0,1,2,1,121,Destaque
27249,7,72.33,2,1,2,3,123,Proximo Fiel Limitado
49472,7,2823.74,25,3,2,1,321,Distante Fiel Valioso
41845,7,751.86,17,2,2,1,221,Destaque
51521,7,369.15,8,2,2,2,222,Destaque
40580,7,104.078,53,3,2,3,323,Distante Fiel Limitado
33088,7,78.41,28,3,2,3,323,Distante Fiel Limitado
33337,7,34.0,20,2,2,4,224,Proximo Fiel Limitado
44821,7,701.56,24,2,2,1,221,Destaque
68016,7,267.79,39,3,2,2,322,Distante Fiel Valioso
51996,7,452.54400000000004,20,2,2,2,222,Destaque
30159,7,1258.3200000000002,64,4,2,1,421,Distante Fiel Valioso
1464,7,199.59,101,4,2,2,422,Distante Fiel Valioso
43841,7,123.44,4,1,2,3,123,Proximo Fiel Limitado
34271,7,487.572,5,1,2,2,122,Destaque
89060,7,388.86,13,2,2,2,222,Destaque
51648,7,115.19200000000001,23,2,2,3,223,Proximo Fiel Limitado
30063,7,268.94,20,2,2,2,222,Destaque
54175,7,633.381,13,2,2,1,221,Destaque
26841,7,522.18,14,2,2,1,221,Destaque
52207,7,153.89,8,2,2,2,222,Destaque
78337,7,380.01,15,2,2,2,222,Destaque
30877,7,480.28,18,2,2,2,222,Destaque
53208,7,314.61,1,1,2,2,122,Destaque
32563,7,927.94,10,2,2,1,221,Destaque
15091,7,254.463,0,1,2,2,122,Destaque
53998,7,41.230000000000004,1,1,2,4,124,Proximo Fiel Limitado
48775,7,177.51999999999998,25,3,2,2,322,Distante Fiel Valioso
